Date,Open,High,Low,Close,Adj Close,Volume
2014-04-30,108.000000,108.500000,107.669998,108.419998,100.839981,467700
2014-05-01,110.019997,110.150002,109.370003,109.730003,102.058388,340900
2014-05-02,109.989998,110.180000,109.669998,109.930000,102.244415,420500
2014-05-05,109.779999,109.930000,109.410004,109.440002,101.788673,274800
2014-05-06,109.500000,109.570000,108.720001,109.000000,101.379425,429400
2014-05-07,109.000000,109.139999,108.580002,109.029999,101.407333,319000
2014-05-08,108.500000,108.610001,107.529999,108.150002,100.588860,366500
2014-05-09,108.959999,109.379997,108.529999,108.870003,101.258522,371700
2014-05-12,108.870003,109.320000,108.599998,109.209999,101.574753,346200
2014-05-13,110.209999,111.540001,110.089996,111.379997,103.593040,564200
2014-05-14,111.070000,111.440002,110.410004,110.430000,102.709457,699500
2014-05-15,110.339996,110.660004,109.000000,109.500000,101.844467,257900
2014-05-16,109.370003,109.620003,108.959999,109.610001,101.946785,237400
2014-05-19,108.110001,108.790001,107.809998,108.610001,101.016693,358900
2014-05-20,108.169998,108.279999,107.629997,107.669998,100.142410,333200
2014-05-21,107.800003,108.220001,107.589996,108.059998,100.505142,307000
2014-05-22,108.900002,109.900002,108.870003,109.489998,101.835175,547100
2014-05-23,109.510002,109.730003,109.379997,109.639999,101.974686,175600
2014-05-27,109.930000,110.169998,109.529999,110.110001,102.411835,296400
2014-05-28,110.550003,110.800003,109.500000,109.910004,102.225807,259100
2014-05-29,111.290001,111.709999,111.070000,111.489998,103.695343,348500
2014-05-30,113.349998,113.389999,112.900002,113.110001,105.202095,449700
2014-06-02,114.120003,114.190002,113.269997,113.949997,105.983353,660400
2014-06-03,114.160004,115.029999,114.160004,114.919998,106.885544,593400
2014-06-04,114.510002,114.660004,113.389999,114.480003,106.476311,558100
2014-06-05,114.199997,114.800003,113.820000,114.589996,106.578613,318500
2014-06-06,114.620003,115.459999,114.519997,115.150002,107.099464,370900
2014-06-09,115.000000,115.309998,114.830002,115.070000,107.025055,220200
2014-06-10,113.680000,114.120003,113.379997,113.870003,105.908943,348900
2014-06-11,114.059998,114.470001,113.779999,114.059998,106.085670,207000
2014-06-12,114.779999,115.290001,114.110001,114.260002,106.271698,292400
2014-06-13,114.120003,114.360001,114.000000,114.239998,106.253082,185200
2014-06-16,114.269997,114.660004,113.900002,114.480003,106.476311,225200
2014-06-17,115.129997,115.239998,114.510002,114.709999,106.690224,222000
2014-06-18,114.839996,116.220001,114.639999,116.050003,107.936546,360700
2014-06-19,117.500000,118.070000,117.029999,117.750000,109.517685,660300
2014-06-20,118.209999,118.419998,117.720001,118.220001,109.954834,513600
2014-06-23,117.099998,117.290001,116.699997,117.220001,109.024750,233800
2014-06-24,117.260002,117.389999,116.500000,116.550003,108.401596,219600
2014-06-25,116.910004,117.519997,116.629997,117.470001,109.257263,208600
2014-06-26,118.000000,118.000000,117.290001,117.650002,109.424675,195600
2014-06-27,118.709999,118.940002,118.470001,118.839996,110.531487,353200
2014-06-30,119.750000,119.879997,119.440002,119.660004,111.294167,505000
2014-07-01,121.430000,122.279999,121.349998,122.260002,113.712387,501000
2014-07-02,122.339996,122.349998,121.629997,121.879997,113.358932,223500
2014-07-03,121.349998,121.900002,121.050003,121.730003,113.219437,195900
2014-07-07,121.250000,121.800003,120.860001,121.160004,112.689285,328700
2014-07-08,120.940002,120.940002,119.629997,120.300003,111.889412,343400
2014-07-09,119.800003,120.290001,119.000000,120.040001,111.647583,292300
2014-07-10,117.480003,118.389999,116.610001,118.050003,109.796715,466700
2014-07-11,118.410004,118.800003,118.120003,118.519997,110.233856,347300
2014-07-14,119.370003,119.489998,118.889999,119.000000,110.680298,166800
2014-07-15,119.000000,119.089996,118.330002,118.709999,110.410576,187700
2014-07-16,119.400002,119.519997,119.110001,119.150002,110.819817,181200
2014-07-17,119.199997,119.480003,118.199997,118.379997,110.103645,244700
2014-07-18,118.839996,118.989998,118.349998,118.900002,110.587288,208000
2014-07-21,118.690002,119.000000,118.029999,118.660004,110.364082,143900
2014-07-22,118.720001,119.419998,118.720001,119.180000,110.847717,117700
2014-07-23,119.389999,119.650002,119.050003,119.430000,111.080238,171200
2014-07-24,119.610001,119.989998,119.370003,119.379997,111.033730,152600
2014-07-25,119.919998,120.000000,119.320000,119.629997,111.266251,140200
2014-07-28,119.959999,120.760002,119.750000,120.580002,112.149834,172800
2014-07-29,120.589996,121.459999,120.500000,120.580002,112.149834,399200
2014-07-30,120.519997,120.519997,119.540001,120.040001,111.647583,293100
2014-07-31,119.309998,119.709999,117.940002,117.989998,109.740906,290900
2014-08-01,117.709999,118.080002,117.290001,117.589996,109.368874,206900
2014-08-04,117.930000,118.330002,117.620003,118.120003,109.861824,131300
2014-08-05,119.010002,119.820000,118.510002,119.029999,110.708206,360300
2014-08-06,116.129997,116.760002,115.430000,116.610001,108.457382,429300
2014-08-07,117.459999,118.080002,116.430000,116.680000,108.522499,260400
2014-08-08,116.639999,117.660004,116.150002,117.629997,109.406075,254400
2014-08-11,116.730003,117.199997,116.500000,116.760002,108.596909,264800
2014-08-12,117.070000,117.550003,116.830002,117.239998,109.043335,242500
2014-08-13,117.849998,118.330002,117.769997,117.930000,109.685104,217800
2014-08-14,117.470001,117.790001,117.250000,117.739998,109.508385,181500
2014-08-15,117.250000,117.379997,116.260002,116.889999,108.717819,220300
2014-08-18,117.010002,117.470001,117.010002,117.209999,109.015442,156900
2014-08-19,117.099998,117.209999,116.809998,116.949997,108.773613,221900
2014-08-20,115.620003,115.879997,115.199997,115.699997,107.611008,319900
