date,Volume,Fear_index,SPY_index,FEDFUNDS,Target,MA,RSI,BB_UPPER,BB_MIDDLE,BB_LOWER
2014-05-28,54520000.0,11.68,191.380005,0.09,15.339,15.099574999999998,59.85168323770855,15.794229724911666,15.099574999999998,14.40492027508833
2014-05-29,47310000.0,11.57,192.369995,0.09,16.178499,15.1237,63.62095664510623,15.865878613769517,15.1237,14.381521386230482
2014-05-30,85204000.0,11.4,192.679993,0.09,16.4835,15.135349999999999,61.507941003526575,15.90232705311176,15.135349999999999,14.368372946888238
2014-06-02,44068000.0,11.58,192.899994,0.1,16.375,15.137424999999999,55.51840749990122,15.907640163034603,15.137424999999999,14.367209836965394
2014-06-03,47584000.0,11.87,192.800003,0.1,16.620501,15.130275000000001,53.04442690394125,15.888786594818225,15.130275000000001,14.371763405181778
2014-06-04,42142000.0,12.08,193.190002,0.1,16.76,15.153775000000001,52.41934706477631,15.907309930912474,15.153775000000001,14.400240069087529
2014-06-05,155934000.0,11.68,194.449997,0.1,16.2955,15.230924949999999,68.69061194320972,16.07191793981382,15.230924949999999,14.389931960186177
2014-06-06,104880000.0,10.73,195.380005,0.1,16.313499,15.334299949999998,72.38544432181888,16.25775370874895,15.334299949999998,14.410846191251045
2014-06-09,64244000.0,11.15,195.580002,0.1,16.381001,15.42244995,69.25445879955964,16.391070612037787,15.42244995,14.453829287962217
2014-06-10,73268000.0,10.99,195.600006,0.1,16.281,15.496324999999999,72.18603342493795,16.592217524648,15.496324999999999,14.400432475351998
2014-06-11,88736000.0,11.6,194.919998,0.1,16.719,15.572725,73.71943538981435,16.79660361640141,15.572725,14.34884638359859
2014-06-12,85526000.0,12.56,193.539993,0.1,16.35,15.643449999999998,61.55116920725357,16.86249227585273,15.643449999999998,14.424407724147265
2014-06-13,55296000.0,12.18,194.130005,0.1,16.209999,15.721149950000001,61.814193589678524,16.90041437276557,15.721149950000001,14.54188552723443
2014-06-16,48996000.0,12.65,194.289993,0.1,16.362,15.79595,62.840864876508185,16.941193018936104,15.79595,14.650706981063893
2014-06-17,58482000.0,12.06,194.830002,0.1,16.208,15.868100000000002,60.25620380048719,16.93861441830099,15.868100000000002,14.797585581699014
2014-06-18,128030000.0,10.61,196.259995,0.1,16.372,15.951075,66.71391498904656,17.014931456136814,15.951075,14.887218543863183
2014-06-19,106412000.0,10.62,196.479996,0.1,16.2845,16.006050000000002,58.14271691241291,17.030374780834872,16.006050000000002,14.981725219165131
2014-06-20,121080000.0,10.85,195.940002,0.1,16.2285,16.05427495,55.24277026187193,17.016787226892845,16.05427495,15.091762673107155
2014-06-23,52096000.0,10.98,195.880005,0.1,16.239,16.09177495,57.709048837698305,17.04007032038058,16.09177495,15.143479579619424
2014-06-24,52532000.0,12.13,194.699997,0.1,16.619499,16.12512495,54.43620181010961,17.038120630713237,16.12512495,15.212129269286763
2014-06-25,46556000.0,11.59,195.580002,0.1,16.6425,16.168324950000002,57.21875226524772,17.039161761488316,16.168324950000002,15.297488138511689
2014-06-26,53990000.0,11.63,195.440002,0.1,16.8745,16.19809995,55.27906072429461,17.04017855555762,16.19809995,15.356021344442379
2014-06-27,48324000.0,11.26,195.820007,0.1,16.6775,16.22814995,54.01697400245785,17.026238139996288,16.22814995,15.43006176000371
2014-06-30,53426000.0,11.57,195.720001,0.1,16.1905,16.26799995,54.22798956512146,16.97522776783299,16.26799995,15.56077213216701
2014-07-01,63472000.0,11.15,197.029999,0.09,16.498501,16.3309999,61.1801487785253,16.9104029837637,16.3309999,15.751596816236296
2014-07-02,53626000.0,10.82,197.229996,0.09,16.396,16.3961749,61.560231707328775,16.758223335900563,16.3961749,16.034126464099433
2014-07-03,38886000.0,10.32,198.199997,0.09,17.309999,16.43097495,65.2554272334958,16.83615634315487,16.43097495,16.02579355684513
2014-07-07,42578000.0,11.33,197.509995,0.09,17.766001,16.44067495,59.98258513569496,16.8601861281598,16.44067495,16.021163771840197
2014-07-08,85432000.0,11.98,196.240005,0.09,17.722,16.43144995,49.36361290502822,16.864923807623654,16.43144995,15.997976092376348
2014-07-09,63322000.0,11.65,197.119995,0.09,17.795,16.42534995,54.8122274879568,16.85098492425175,16.42534995,15.999714975748251
2014-07-10,53300000.0,12.59,196.339996,0.09,17.622499,16.40714995,52.77692880942687,16.802592496842973,16.40714995,16.01170740315703
2014-07-11,166016000.0,12.08,196.610001,0.09,17.933001,16.4578749,65.18953180556665,17.01869959763277,16.4578749,15.897050202367229
2014-07-14,112198000.0,11.82,197.600006,0.09,17.988001,16.530499999999996,69.49730265132622,17.335595876867227,16.530499999999996,15.725404123132764
2014-07-15,83418000.0,11.96,197.229996,0.09,18.042,16.59754995,68.61495046736042,17.55849908552941,16.59754995,15.636600814470594
2014-07-16,70072000.0,11.0,197.960007,0.09,17.907,16.673249950000002,69.31109655009044,17.759560300779906,16.673249950000002,15.586939599220099
2014-07-17,72720000.0,14.54,195.710007,0.09,17.9305,16.7184249,65.60781622403678,17.88493102074156,16.7184249,15.551918779258436
2014-07-18,68148000.0,12.06,197.710007,0.09,16.2005,16.79757495,68.83557051574219,18.06893245934163,16.79757495,15.526217440658371
2014-07-21,45568000.0,12.81,197.339996,0.09,16.0205,16.88647505,69.38369160148928,18.231365280821596,16.88647505,15.541584819178407
2014-07-22,57778000.0,12.24,198.199997,0.09,16.0,16.970475049999997,69.94264525178384,18.38547068425452,16.970475049999997,15.555479415745474
2014-07-23,53746000.0,11.52,198.639999,0.09,16.1255,17.055425050000004,66.66577935917434,18.481637612119986,17.055425050000004,15.629212487880022
2014-07-24,141774000.0,11.84,198.649994,0.09,15.6495,17.13335005,66.95599980690517,18.57258457244273,17.13335005,15.69411552755727
2014-07-25,356930000.0,12.69,197.720001,0.09,15.353,17.12915005,39.61329050722633,18.579263734015807,17.12915005,15.679036365984192
2014-07-28,118640000.0,12.56,197.800003,0.09,15.6825,17.11875005,37.879993348301504,18.598736698553363,17.11875005,15.638763401446635
2014-07-29,57676000.0,13.28,196.949997,0.09,15.616,17.106800049999997,37.67779221178918,18.620178824962412,17.106800049999997,15.593421275037581
2014-07-30,79380000.0,13.33,196.979996,0.09,15.6945,17.0821001,39.796494927031645,18.644303906206975,17.0821001,15.519896293793028
2014-07-31,103840000.0,16.950001,193.089996,0.09,15.5725,17.0324501,34.94417041160307,18.712179139941348,17.0324501,15.352721060058649
2014-08-01,148830000.0,17.030001,192.5,0.09,15.84,16.9563751,32.30213479352179,18.796394099787822,16.9563751,15.116356100212176
2014-08-04,84018000.0,15.12,193.889999,0.09,15.9165,16.906625100000003,37.91952235029247,18.830295786173533,16.906625100000003,14.982954413826473
2014-08-05,57042000.0,16.870001,192.009995,0.09,15.966,16.877900099999998,37.2477678634842,18.862779404001596,16.877900099999998,14.8930207959984
2014-08-06,45938000.0,16.370001,192.070007,0.09,16.313999,16.837700050000002,38.6298616511049,18.88647190463338,16.837700050000002,14.788928195366623
2014-08-07,58712000.0,16.66,191.029999,0.09,16.6605,16.79652505,37.256498991251256,18.914602065321358,16.79652505,14.67844803467864
2014-08-08,54118000.0,15.77,193.240005,0.09,16.681499,16.723025099999997,42.11576856576328,18.86792988131947,16.723025099999997,14.578120318680526
2014-08-11,49372000.0,14.23,193.800003,0.09,16.7265,16.630550050000004,43.46425837989031,18.74538884121358,16.630550050000004,14.515711258786428
2014-08-12,38316000.0,14.13,193.529999,0.09,16.7565,16.54275005,44.36737820027673,18.612113886214456,16.54275005,14.473386213785542
2014-08-13,98782000.0,12.9,194.839996,0.09,16.789,16.4687,50.36979106293597,18.453659003633604,16.4687,14.483740996366391
2014-08-14,68408000.0,12.42,195.759995,0.09,16.6455,16.42060005,55.516254203736494,18.333138108667924,16.42060005,14.508061991332077
2014-08-15,77934000.0,13.15,195.720001,0.09,16.5795,16.358024949999997,55.81528343283477,18.139624316539305,16.358024949999997,14.57642558346069
2014-08-18,49708000.0,12.32,197.360001,0.09,16.701,16.2949499,56.490288034718276,17.915628129618167,16.2949499,14.67427167038183
2014-08-19,34276000.0,12.21,198.389999,0.09,17.091499,16.2306749,56.962315566686094,17.64894360508799,16.2306749,14.81240619491201
2014-08-20,36210000.0,11.78,198.919998,0.09,17.159,16.1747749,57.50023158291529,17.388184532365003,16.1747749,14.961365267634994
2014-08-21,39422000.0,11.76,199.5,0.09,17.000999,16.110524899999998,54.274595297767384,17.03392527374476,16.110524899999998,15.187124526255236
2014-08-22,44224000.0,11.47,199.190002,0.09,16.952,16.129474899999998,52.80730342865384,17.07591802136511,16.129474899999998,15.183031778634888
2014-08-25,39154000.0,11.7,200.199997,0.09,17.118999,16.163499899999998,55.20800065679752,17.141838519992486,16.163499899999998,15.18516128000751
2014-08-26,73094000.0,11.63,200.330002,0.09,16.950001,16.21807485,61.913905279766595,17.276507382414906,16.21807485,15.159642317585096
2014-08-27,59232000.0,11.78,200.25,0.09,17.297501,16.26974985,62.94657223115259,17.407123666668316,16.26974985,15.132376033331687
2014-08-28,45054000.0,12.05,200.139999,0.09,17.319,16.337324799999998,58.919519260873514,17.48011723960648,16.337324799999998,15.194532360393517
2014-08-29,38790000.0,12.09,200.710007,0.09,17.117001,16.417274799999998,57.68696787733144,17.49180964670327,16.417274799999998,15.342739953296725
2014-09-02,46520000.0,12.25,200.610001,0.09,16.487499,16.48909975,60.70416508193213,17.54877356048716,16.48909975,15.429425939512843
2014-09-03,39874000.0,12.36,200.5,0.09,16.5665,16.5557998,56.326947423675186,17.549989724924885,16.5557998,15.561609875075112
2014-09-04,79312000.0,12.64,200.210007,0.09,16.525999,16.63594985,62.34027334354037,17.595639201789538,16.63594985,15.67626049821046
2014-09-05,42140000.0,12.09,201.110001,0.09,16.5595,16.72327485,62.68261561251267,17.588739271495804,16.72327485,15.857810428504195
2014-09-08,59106000.0,12.66,200.589996,0.09,16.1945,16.787124900000002,57.40265164251307,17.561884000217656,16.787124900000002,16.012365799782348
2014-09-09,92936000.0,13.5,199.320007,0.09,16.388,16.81567485,44.751637121657424,17.491058775366835,16.81567485,16.140290924633167
2014-09-10,75948000.0,12.88,200.070007,0.09,16.200001,16.84569985,46.349670874444925,17.405547971172833,16.84569985,16.285851728827165
2014-09-11,54404000.0,12.8,200.300003,0.09,16.25,16.85629985,45.62113579366483,17.380663675844648,16.85629985,16.33193602415535
2014-09-12,68586000.0,13.31,199.130005,0.09,16.566,16.85124985,46.37201827992511,17.385407381171344,16.85124985,16.317092318828653
2014-09-15,80008000.0,14.12,198.979996,0.09,16.225,16.8268999,39.90647546312714,17.433171835964785,16.8268999,16.220627964035216
2014-09-16,65198000.0,12.73,200.479996,0.09,16.181499,16.8099749,44.337314160887814,17.44620735609692,16.8099749,16.17374244390308
2014-09-17,82720000.0,12.65,200.75,0.09,16.4105,16.78214995,41.16181479055443,17.47443598661066,16.78214995,16.08986391338934
2014-09-18,51538000.0,12.03,201.820007,0.09,16.0965,16.75519995,42.34451251409271,17.487190083584498,16.75519995,16.023209816415505
2014-09-19,137724000.0,12.11,200.699997,0.09,16.1605,16.75122495,49.283192349843496,17.486579060037645,16.75122495,16.015870839962357
2014-09-22,62194000.0,13.69,199.149994,0.09,16.091,16.733499950000002,43.23624546605214,17.502598074738046,16.733499950000002,15.96440182526196
2014-09-23,47052000.0,14.93,198.009995,0.09,16.122,16.7075249,42.519516130072994,17.51535974289274,16.7075249,15.899690057107257
2014-09-24,52844000.0,13.27,199.559998,0.09,15.873,16.67347495,47.457407441321834,17.470500483957874,16.67347495,15.876449416042123
2014-09-25,58576000.0,15.64,196.339996,0.09,15.9205,16.620349949999998,42.11502333917147,17.422735379068122,16.620349949999998,15.817964520931872
2014-09-26,72760000.0,14.85,197.899994,0.09,16.136999,16.578325,43.51084893319328,17.38479915053142,16.578325,15.771850849468578
2014-09-29,38492000.0,15.98,197.539993,0.09,16.110001,16.535275000000002,42.31748032419958,17.349644531860537,16.535275000000002,15.720905468139465
2014-09-30,52724000.0,16.309999,197.020004,0.09,15.849,16.485425049999996,43.06754470029133,17.270891911595466,16.485425049999996,15.699958188404526
2014-10-01,61782000.0,16.709999,194.350006,0.09,16.135,16.431575,38.713083570275,17.230493805769278,16.431575,15.63265619423072
2014-10-02,71078000.0,16.16,194.380005,0.09,15.7685,16.362724949999997,39.9601873045337,17.080668168243697,16.362724949999997,15.644781731756296
2014-10-03,60748000.0,14.55,196.520004,0.09,15.5695,16.3036249,45.41243410542658,16.868376475008816,16.3036249,15.738873324991182
2014-10-06,45806000.0,15.46,196.289993,0.09,15.3225,16.2532749,44.86528338604534,16.67384912064951,16.2532749,15.83270067935049
2014-10-07,47308000.0,17.200001,193.259995,0.09,15.4155,16.221349949999997,39.86474826869722,16.66344684904867,16.221349949999997,15.779253050951326
2014-10-08,69056000.0,15.11,196.639999,0.09,15.2985,16.199774950000002,46.854775355135835,16.612061020345685,16.199774950000002,15.787488879654319
2014-10-09,71758000.0,18.76,192.740005,0.09,15.143,16.1619,40.37763597178997,16.586979505381787,16.1619,15.736820494618211
2014-10-10,73638000.0,21.24,190.539993,0.09,15.182,16.1124,37.35785724165675,16.571721417792595,16.1124,15.653078582207408
2014-10-13,87278000.0,24.639999,187.410004,0.09,15.3105,16.0688,33.9626636830895,16.645782930150542,16.0688,15.491817069849457
2014-10-14,67716000.0,22.790001,187.699997,0.09,15.7665,16.020175000000002,36.3097351490849,16.645759967598416,16.020175000000002,15.394590032401588
2014-10-15,106878000.0,25.27,186.429993,0.09,15.6485,15.975099949999997,34.64163271610727,16.67197807620258,15.975099949999997,15.278221823797413
2014-10-16,94626000.0,25.200001,186.270004,0.09,15.659,15.91974995,32.5043113881444,16.696020883780378,15.91974995,15.143479016219622
2014-10-17,88102000.0,21.99,188.470001,0.09,14.353,15.850549950000001,33.610651780444286,16.630994726576088,15.850549950000001,15.070105173423917
