date,Volume,Fear_index,SPY_index,FEDFUNDS,Target,MA,RSI,BB_UPPER,BB_MIDDLE,BB_LOWER
2020-02-24,227883000.0,25.030001,322.420013,1.58,49.574669,50.74359975,63.192547270875366,65.63129587199421,50.74359975,35.8559036280058
2020-02-25,259357500.0,27.85,312.649994,1.58,49.700668,51.549899749999994,58.39790075423622,65.0296066644774,51.549899749999994,38.07019283552259
2020-02-26,211282500.0,27.559999,311.5,1.58,49.966667,52.256233099999996,55.568781447048124,64.07951540133223,52.256233099999996,40.43295079866777
2020-02-27,364158000.0,39.16,297.51001,1.58,48.302666,52.582933100000005,44.57449278496424,63.124430488171555,52.582933100000005,42.041435711828456
2020-02-28,363343500.0,40.110001,296.26001,1.58,46.898666,52.6735329,43.550788722987335,62.884089263587214,52.6735329,42.46297653641278
2020-03-02,302925000.0,33.419998,309.089996,0.65,40.533333,52.98369964999999,51.74845860817432,62.34612652606505,52.98369964999999,43.62127277393493
2020-03-03,386760000.0,36.82,300.23999,0.65,43.021999,52.86873304999999,51.93630303565689,62.337881972208706,52.86873304999999,43.39958412779127
2020-03-04,225735000.0,31.99,312.859985,0.65,42.282001,52.410199750000004,52.357975191668274,61.48102397423772,52.410199750000004,43.339375525762286
2020-03-05,162790500.0,39.619999,302.459991,0.65,37.369999,52.37633305000001,49.436109178792975,61.505948498446614,52.37633305000001,43.2467176015534
2020-03-06,189943500.0,41.939999,297.459991,0.65,36.441334,52.224732949999996,47.05028769345688,61.62211028391508,52.224732949999996,42.827355616084915
2020-03-09,256105500.0,54.459999,274.230011,0.65,29.671333,51.757832900000004,38.077944731403434,62.48179781513635,51.757832900000004,41.033867984863654
2020-03-10,233916000.0,47.299999,288.420013,0.65,28.68,51.3379995,42.68027567807249,62.75304792764159,51.3379995,39.922951072358416
2020-03-11,199837500.0,53.900002,274.359985,0.65,24.081333,50.87083295,41.68808968543178,62.980024565709286,50.87083295,38.761641334290715
2020-03-12,283636500.0,75.470001,248.110001,0.65,28.509333,50.18169949999999,35.747562565354855,63.70905553096429,50.18169949999999,36.654343469035695
2020-03-13,339604500.0,57.830002,269.320007,0.65,28.502001,49.3237663,34.739648209352325,64.0606970492968,49.3237663,34.5868355507032
2020-03-16,307342500.0,82.690002,239.850006,0.65,28.952667,48.140566199999995,28.443504422472728,65.1465562234178,48.140566199999995,31.13457617658219
2020-03-17,359919000.0,75.910004,252.800003,0.65,33.666668,46.713232950000005,27.65317219200014,65.23280098238354,46.713232950000005,28.193664917616466
2020-03-18,356793000.0,76.449997,240.0,0.65,35.950001,44.85923305,24.282496240235517,64.6679894657305,44.85923305,25.050476634269508
2020-03-19,452932500.0,72.0,240.509995,0.65,35.210667,43.28666635,32.77894950437346,63.041181089322805,43.28666635,23.532151610677186
2020-03-20,424282500.0,66.040001,228.800003,0.65,34.290668,41.7084331,32.7723918420232,60.852461093983194,41.7084331,22.56440510601681
2020-03-23,246817500.0,61.59,222.949997,0.65,33.475334,40.3767665,33.651020349624176,59.15806516050358,40.3767665,21.595467839496422
2020-03-24,343428000.0,61.669998,243.149994,0.65,34.933334,39.3937333,42.16560360844078,57.36143995561309,39.3937333,21.42602664438691
2020-03-25,318340500.0,63.950001,246.789993,0.65,32.104,38.59523345,45.794203982324674,55.613383119386995,38.59523345,21.577083780613005
2020-03-26,260710500.0,61.0,261.200012,0.65,30.298,38.0924335,44.813765211370516,54.87321108876277,38.0924335,21.311655911237224
2020-03-27,215661000.0,65.540001,253.419998,0.65,32.000668,37.58033365,43.56388630575643,54.157462931746366,37.58033365,21.003204368253634
2020-03-30,179971500.0,57.080002,261.649994,0.65,34.416,36.775366899999995,42.434332912834485,52.43848673830914,36.775366899999995,21.112247061690855
2020-03-31,266572500.0,53.540001,257.75,0.65,36.363335,36.0370002,45.17205146639332,50.479330188318144,36.0370002,21.594670211681855
2020-04-01,200298000.0,57.060001,246.149994,0.05,36.589333,35.14386685,41.08833844680277,48.09103385067529,35.14386685,22.19669984932472
2020-04-02,297876000.0,50.91,251.830002,0.05,38.200001,34.243633550000006,38.684315921380744,45.76348747771372,34.243633550000006,22.723779622286294
2020-04-03,338431500.0,46.799999,248.190002,0.05,43.396667,33.49873365,42.12248134335926,43.38377758811678,33.49873365,23.613689711883218
2020-04-06,223527000.0,45.240002,264.859985,0.05,47.326,33.192867,46.68917751051111,42.524495686953216,33.192867,23.861238313046787
2020-04-07,268797000.0,46.700001,265.130005,0.05,48.655334,32.8599338,50.107227205463616,41.129723938244815,32.8599338,24.590143661755185
2020-04-08,189840000.0,43.349998,274.029999,0.05,49.680668,32.5753004,50.50385484551445,39.806264986512446,32.5753004,25.34433581348756
2020-04-09,204750000.0,41.669998,278.200012,0.05,50.259335,32.6168005,53.35016094232888,39.972088022419484,32.6168005,25.261512977580505
2020-04-13,337131000.0,41.169998,275.660004,0.05,49.757332,32.96456715000001,61.11892524241062,41.62343350902112,32.96456715000001,24.305700790978896
2020-04-14,458647500.0,37.759998,283.790009,0.05,45.781334,33.8473005,65.76184204056102,44.46958928553197,33.8473005,23.22501171446804
2020-04-15,353655000.0,40.84,277.76001,0.05,48.807335,34.8460672,67.18931502374708,47.05980410575819,34.8460672,22.632330294241815
2020-04-16,309868500.0,40.110001,279.100006,0.05,47.042,36.12603395,68.28756945601971,48.94052069119486,36.12603395,23.311547208805134
2020-04-17,196923000.0,38.150002,286.640015,0.05,48.343334,37.21353405000001,68.91986283653657,50.963829897147846,37.21353405000001,23.463238202852168
2020-04-20,221199000.0,43.830002,281.589996,0.05,53.25,38.2763006,67.65954392867499,52.47008815566295,38.2763006,24.08251304433705
2020-04-21,303136500.0,45.41,273.040009,0.05,51.274666,39.117733949999995,58.53018154143096,52.97556324580822,39.117733949999995,25.25990465419177
2020-04-22,212482500.0,41.98,279.100006,0.05,53.367332,39.8747673,62.659677440187664,54.12737233920919,39.8747673,25.62216226079082
