date,Volume,Fear_index,SPY_index,FEDFUNDS,Target,MA,RSI,BB_UPPER,BB_MIDDLE,BB_LOWER
2014-05-28,446700.0,11.68,191.380005,0.09,34.900002,33.692499600000005,65.723697516408,34.82332784048524,33.692499600000005,32.56167135951477
2014-05-29,1198000.0,11.57,192.369995,0.09,35.029999,33.7709996,68.7690831282481,35.000751182618465,33.7709996,32.54124801738154
2014-05-30,526200.0,11.4,192.679993,0.09,35.09,33.846499699999995,71.86043287435903,35.22638894330693,33.846499699999995,32.46661045669306
2014-06-02,428400.0,11.58,192.899994,0.1,35.0,33.92399965,72.70514418761334,35.44124607386832,33.92399965,32.40675322613168
2014-06-03,400700.0,11.87,192.800003,0.1,34.849998,33.9929997,70.42835344532403,35.60881723503624,33.9929997,32.377182164963756
2014-06-04,1048400.0,12.08,193.190002,0.1,34.869999,34.054999800000004,63.74072580111494,35.71166093677802,34.054999800000004,32.39833866322199
2014-06-05,614600.0,11.68,194.449997,0.1,34.700001,34.1289998,65.38419680616204,35.822490540081624,34.1289998,32.43550905991838
2014-06-06,380400.0,10.73,195.380005,0.1,34.68,34.23099985,66.14689254761959,35.896360576912365,34.23099985,32.56563912308764
2014-06-09,1040600.0,11.15,195.580002,0.1,34.669998,34.33449985,63.873540968449525,35.91452588489709,34.33449985,32.75447381510291
2014-06-10,396400.0,10.99,195.600006,0.1,34.740002,34.4329997,60.162286641518435,35.87042560223867,34.4329997,32.99557379776134
2014-06-11,304900.0,11.6,194.919998,0.1,35.0,34.48799964999999,60.491915360865626,35.90260896649747,34.48799964999999,33.073390333502516
2014-06-12,462000.0,12.56,193.539993,0.1,35.650002,34.5489997,56.23300300365738,35.88354309662662,34.5489997,33.21445630337339
2014-06-13,485300.0,12.18,194.130005,0.1,35.630001,34.62999965,55.73580630466343,35.7658835376934,34.62999965,33.494115762306606
2014-06-16,378800.0,12.65,194.289993,0.1,35.169998,34.69599965,55.47167004437521,35.65896421993653,34.69599965,33.733035080063466
2014-06-17,316400.0,12.06,194.830002,0.1,34.869999,34.7514997,57.00737705755245,35.57339181714006,34.7514997,33.92960758285993
2014-06-18,368900.0,10.61,196.259995,0.1,34.880001,34.82099965,62.2190448867704,35.44857390294022,34.82099965,34.19342539705978
2014-06-19,682900.0,10.62,196.479996,0.1,34.810001,34.9064998,71.51555452904877,35.49331315543114,34.9064998,34.31968644456886
2014-06-20,506400.0,10.85,195.940002,0.1,34.849998,34.97499995,70.93713580812205,35.563898313142474,34.97499995,34.38610158685752
2014-06-23,384800.0,10.98,195.880005,0.1,34.990002,34.997999899999996,59.09826687178409,35.57920099248173,34.997999899999996,34.41679880751826
2014-06-24,1023300.0,12.13,194.699997,0.1,35.23,34.9974998,52.89788167536641,35.57914544362156,34.9974998,34.41585415637844
2014-06-25,414300.0,11.59,195.580002,0.1,35.040001,35.011499949999994,53.074649483850315,35.56569135965278,35.011499949999994,34.457308540347206
2014-06-26,533200.0,11.63,195.440002,0.1,35.0,35.008500049999995,51.614718992836565,35.56655265703374,35.008500049999995,34.45044744296625
2014-06-27,271100.0,11.26,195.820007,0.1,35.169998,34.99199995,52.42006580286931,35.54821336682856,34.99199995,34.43578653317144
2014-06-30,359700.0,11.57,195.720001,0.1,34.990002,34.978000050000006,55.22913763040912,35.51862804819226,34.978000050000006,34.43737205180775
2014-07-01,314800.0,11.15,197.029999,0.09,35.41,34.980500049999996,59.62919444750407,35.525505795800605,34.980500049999996,34.43549430419939
2014-07-02,225900.0,10.82,197.229996,0.09,34.990002,34.9875,55.01915034605669,35.53174819029489,34.9875,34.4432518097051
2014-07-03,386600.0,10.32,198.199997,0.09,34.959999,34.98600005,54.071348489530685,35.52992032822108,34.98600005,34.44207977177892
2014-07-07,558200.0,11.33,197.509995,0.09,35.220001,34.98999995,57.427850424422175,35.538299387983045,34.98999995,34.44170051201695
2014-07-08,394300.0,11.98,196.240005,0.09,35.369999,34.98950005,53.010434460002124,35.53777932978424,34.98950005,34.44122077021575
2014-07-09,603200.0,11.65,197.119995,0.09,35.689999,35.01750015,60.62191849883618,35.592336982691464,35.01750015,34.44266331730853
2014-07-10,991700.0,12.59,196.339996,0.09,35.099998,35.0235003,51.61760786960465,35.59434585899044,35.0235003,34.45265474100957
2014-07-11,934600.0,12.08,196.610001,0.09,35.290001,35.0365002,51.0344496899939,35.58783499522867,35.0365002,34.48516540477133
2014-07-14,404100.0,11.82,197.600006,0.09,35.27,35.06350025,55.70472604253096,35.59381452922105,35.06350025,34.533185970778945
2014-07-15,431300.0,11.96,197.229996,0.09,35.450001,35.0985003,58.18272506741428,35.61158288451683,35.0985003,34.58541771548317
2014-07-16,433400.0,11.0,197.960007,0.09,35.150002,35.14600015,62.94524570100728,35.69404552346485,35.14600015,34.59795477653515
2014-07-17,541500.0,14.54,195.710007,0.09,35.130001,35.15100005,51.33629173136205,35.695248522287876,35.15100005,34.606751577712124
2014-07-18,297700.0,12.06,197.710007,0.09,34.990002,35.132999999999996,54.261801830758024,35.62947572263506,35.132999999999996,34.636524277364934
2014-07-21,481100.0,12.81,197.339996,0.09,35.18,35.11499995,53.894505299679324,35.558929211799196,35.11499995,34.6710706882008
2014-07-22,368200.0,12.24,198.199997,0.09,36.02,35.1290001,56.73299511162495,35.59722822344644,35.1290001,34.660771976553555
2014-07-23,430800.0,11.52,198.639999,0.09,35.84,35.14300025,51.08777108434966,35.59508731893958,35.14300025,34.690913181060424
2014-07-24,224600.0,11.84,198.649994,0.09,34.880001,35.15550025,50.72537183056981,35.59046988839265,35.15550025,34.72053061160736
