date,Actual,Predicted,Percentage Difference (%),Abs_Percentage_Diff
2014-05-28,22.286072,20.195152,-9.382181468700077,9.382181468700077
2014-05-29,22.692142,21.493423,-5.282527044321942,5.282527044321942
2014-05-30,22.607143,25.448391,12.567921389683601,12.567921389683601
2014-06-02,22.451786,21.411892,-4.631676351913113,4.631676351913113
2014-06-03,22.769285,19.890121,-12.644944889745386,12.644944889745386
2014-06-04,23.029285,20.811287,-9.631206846979705,9.631206846979705
2014-06-05,23.119642,20.293682,-12.22319922432764,12.22319922432764
2014-06-06,23.05607,21.259724,-7.791207854026815,7.791207854026815
2014-06-09,23.424999,20.350166,-13.126287344555355,13.126287344555355
2014-06-10,23.5625,19.3708,-17.789708145101127,17.789708145101127
2014-06-11,23.465,18.083763,-22.933035914943133,22.933035914943133
2014-06-12,23.0725,18.57986,-19.471835790417778,19.471835790417778
2014-06-13,22.82,18.593145,-18.522588209976345,18.522588209976345
2014-06-16,23.049999,18.007599,-21.87592339178355,21.87592339178355
2014-06-17,23.02,18.09068,-21.413209519108722,21.413209519108722
2014-06-18,23.045,18.041782,-21.710642746147148,21.710642746147148
2014-06-19,22.965,18.021656,-21.525556122895914,21.525556122895914
2014-06-20,22.727501,22.374855,-1.551626632844913,1.551626632844913
2014-06-23,22.7075,18.027916,-20.608098845800534,20.608098845800534
2014-06-24,22.57,17.9147,-20.626054255900048,20.626054255900048
2014-06-25,22.59,17.955061,-20.517658437971207,20.517658437971207
2014-06-26,22.725,18.00644,-20.76374385485424,20.76374385485424
2014-06-27,22.995001,19.408405,-15.597284366480006,15.597284366480006
2014-06-30,23.2325,18.294998,-21.252563568512596,21.252563568512596
2014-07-01,23.379999,18.015266,-22.94582040633522,22.94582040633522
2014-07-02,23.370001,18.143208,-22.365396774913147,22.365396774913147
2014-07-03,23.5075,18.37661,-21.826609370430315,21.826609370430315
2014-07-07,23.9925,18.993465,-20.835821929419673,20.835821929419673
2014-07-08,23.8375,19.622646,-17.681609515313642,17.681609515313642
2014-07-09,23.8475,18.104803,-24.08091797745194,24.08091797745194
2014-07-10,23.76,18.080132,-23.905170325076945,23.905170325076945
2014-07-11,23.805,18.132095,-23.83072742317134,23.83072742317134
2014-07-14,24.112499,18.212458,-24.46880907341727,24.46880907341727
2014-07-15,23.83,18.275429,-23.30915328588897,23.30915328588897
2014-07-16,23.695,18.798702,-20.663843680142502,20.663843680142502
2014-07-17,23.272499,19.041069,-18.1821039899423,18.1821039899423
2014-07-18,23.6075,18.503544,-21.620062040623683,21.620062040623683
2014-07-21,23.485001,18.110857,-22.883303220265162,22.883303220265162
2014-07-22,23.68,18.968426,-19.896850714812405,19.896850714812405
2014-07-23,24.297501,22.023079,-9.36072430470512,9.36072430470512
2014-07-24,24.2575,18.40905,-24.109862979313746,24.109862979313746
2014-07-25,24.4175,18.303429,-25.03971065873925,25.03971065873925
2014-07-28,24.754999,19.038982,-23.090352815779063,23.090352815779063
2014-07-29,24.594999,18.285612,-25.653129295417976,25.653129295417976
2014-07-30,24.5375,18.299198,-25.42354294188583,25.42354294188583
2014-07-31,23.9,18.93829,-20.760294383539808,20.760294383539808
2014-08-01,24.032499,18.34712,-23.657043385150338,23.657043385150338
2014-08-04,23.897499,18.148344,-24.057559161663768,24.057559161663768
2014-08-05,23.780001,18.727821,-21.245498054866957,21.245498054866957
2014-08-06,23.74,18.139585,-23.590625547619553,23.590625547619553
2014-08-07,23.620001,18.0569,-23.552501016346003,23.552501016346003
2014-08-08,23.684999,18.117767,-23.50530673873208,23.50530673873208
2014-08-11,23.997499,18.066036,-24.71700394959811,24.71700394959811
2014-08-12,23.9925,18.060682,-24.72363323224787,24.72363323224787
2014-08-13,24.309999,18.070408,-25.66676836378463,25.66676836378463
2014-08-14,24.375,18.153992,-25.522085336538463,25.522085336538463
2014-08-15,24.495001,18.309437,-25.252353334887783,25.252353334887783
2014-08-18,24.790001,18.360844,-25.934477943557706,25.934477943557706
2014-08-19,25.1325,20.169151,-19.748726524809136,19.748726524809136
2014-08-20,25.1425,18.85213,-25.018868887769397,25.018868887769397
2014-08-21,25.145,18.291805,-27.254701661030083,27.254701661030083
2014-08-22,25.33,18.359303,-27.51953209335983,27.51953209335983
2014-08-25,25.385,18.320513,-27.829376515239534,27.829376515239534
2014-08-26,25.2225,18.374462,-27.150511933053632,27.150511933053632
2014-08-27,25.532499,19.012276,-25.536957053045295,25.536957053045295
2014-08-28,25.5625,20.291897,-20.61849654740984,20.61849654740984
2014-08-29,25.625,18.633625,-27.283414515053355,27.283414515053355
2014-09-02,25.825001,19.180084,-25.730557654128937,25.730557654128937
2014-09-03,24.735001,24.90879,0.7026059484651155,0.7026059484651155
2014-09-04,24.530001,21.649113,-11.744346437588742,11.744346437588742
2014-09-05,24.7425,19.523148,-21.094684922672275,21.094684922672275
2014-09-08,24.59,18.664152,-24.098608599488642,24.098608599488642
2014-09-09,24.497499,33.228775,35.641499666615196,35.641499666615196
2014-09-10,25.25,22.887592,-9.356070036935334,9.356070036935334
2014-09-11,25.3575,19.827194,-21.809349447432965,21.809349447432965
2014-09-12,25.415001,19.773575,-22.197229781334407,22.197229781334407
2014-09-15,25.407499,19.707272,-22.435216563709268,22.435216563709268
2014-09-16,25.215,20.193192,-19.915956659447502,19.915956659447502
2014-09-17,25.395,19.747925,-22.236956862817483,22.236956862817483
2014-09-18,25.4475,18.480263,-27.378867250819706,27.378867250819706
2014-09-19,25.24,20.521763,-18.693491093897023,18.693491093897023
2014-09-22,25.264999,19.018986,-24.722000787369847,24.722000787369847
2014-09-23,25.66,19.83717,-22.692246113730334,22.692246113730334
2014-09-24,25.4375,19.641197,-22.786448335764742,22.786448335764742
2014-09-25,24.467501,22.617695,-7.560257769126771,7.560257769126771
2014-09-26,25.1875,19.727097,-21.67902111119727,21.67902111119727
2014-09-29,25.0275,18.815285,-24.82155737087641,24.82155737087641
2014-09-30,25.1875,19.163185,-23.917875455567618,23.917875455567618
2014-10-01,24.795,18.605354,-24.96328167339371,24.96328167339371
2014-10-02,24.975,18.41858,-26.251935529279287,26.251935529279287
2014-10-03,24.905001,18.324627,-26.42189846686847,26.42189846686847
2014-10-06,24.905001,18.406143,-26.09458964295338,26.09458964295338
2014-10-07,24.6875,18.31699,-25.804597878757914,25.804597878757914
2014-10-08,25.200001,19.249294,-23.613914614503948,23.613914614503948
2014-10-09,25.254999,20.69154,-18.069528474721793,18.069528474721793
2014-10-10,25.182501,19.719074,-21.695330224477786,21.695330224477786
2014-10-13,24.952499,18.691715,-25.09080857801651,25.09080857801651
2014-10-14,24.6875,19.260159,-21.9841679440269,21.9841679440269
2014-10-15,24.385,22.24282,-8.78482370413741,8.78482370413741
2014-10-16,24.065001,19.87751,-17.400751112369445,17.400751112369445
2014-10-17,24.4175,19.604473,-19.71138276230707,19.71138276230707
2014-10-20,24.940001,20.352348,-18.394757371354075,18.394757371354075
2014-10-21,25.6175,21.96178,-14.270398953466563,14.270398953466563
2014-10-22,25.747499,19.822063,-23.01363543680526,23.01363543680526
2014-10-23,26.2075,20.208073,-22.892024564138065,22.892024564138065
2014-10-24,26.305,18.578487,-29.37279073848989,29.37279073848989
2014-10-27,26.2775,18.475601,-29.690415007938114,29.690415007938114
2014-10-28,26.684999,18.679863,-29.99863715162883,29.99863715162883
2014-10-29,26.834999,18.975216,-29.289298979048837,29.289298979048837
2014-10-30,26.745001,18.507193,-30.801301478005787,30.801301478005787
2014-10-31,27.0,18.85505,-30.16648469147859,30.16648469147859
2014-11-03,27.35,19.301723,-29.426970821847863,29.426970821847863
2014-11-04,27.15,18.75838,-30.908357679953667,30.908357679953667
2014-11-05,27.215,18.713001,-31.240120333563464,31.240120333563464
2014-11-06,27.174999,18.731226,-31.07184302966404,31.07184302966404
2014-11-07,27.252501,18.695131,-31.40030963807731,31.40030963807731
2014-11-10,27.2075,19.06084,-29.942697393404565,29.942697393404565
2014-11-11,27.424999,19.113342,-30.306862417182767,30.306862417182767
2014-11-12,27.8125,19.07761,-31.406346010358142,31.406346010358142
2014-11-13,28.205,20.028423,-28.98981276608341,28.98981276608341
2014-11-14,28.545,19.040665,-33.29597241950758,33.29597241950758
2014-11-17,28.497499,19.204235,-32.61080533100713,32.61080533100713
2014-11-18,28.8675,19.224327,-33.40494643664209,33.40494643664209
2014-11-19,28.6675,19.089909,-33.40923136006448,33.40923136006448
2014-11-20,29.077499,19.168552,-34.07771280920123,34.07771280920123
2014-11-21,29.1175,20.088871,-31.00756932361203,31.00756932361203
2014-11-24,29.657499,19.48209,-34.30973395181472,34.30973395181472
2014-11-25,29.4,21.037285,-28.444609350087685,28.444609350087685
2014-11-26,29.75,19.20546,-35.44383329503676,35.44383329503676
2014-11-28,29.7325,19.886967,-33.11370821383246,33.11370821383246
2014-12-01,28.7675,22.333618,-22.36510588663422,22.36510588663422
2014-12-02,28.657499,20.361366,-28.949255927837054,28.949255927837054
2014-12-03,28.9825,19.456097,-32.86950177117253,32.86950177117253
2014-12-04,28.872499,19.386963,-32.85318707388301,32.85318707388301
2014-12-05,28.75,19.2457,-33.05843187415082,33.05843187415082
2014-12-08,28.1,20.296104,-27.77187035177102,27.77187035177102
2014-12-09,28.530001,20.580418,-27.863943527178137,27.863943527178137
2014-12-10,27.987499,19.558628,-30.116556387280653,30.116556387280653
2014-12-11,27.905001,19.631687,-29.64814025877784,29.64814025877784
2014-12-12,27.432501,19.93665,-27.324711215686214,27.324711215686214
2014-12-15,27.057501,20.65115,-23.67680315430512,23.67680315430512
2014-12-16,26.6875,20.129807,-24.57215356045082,24.57215356045082
2014-12-17,27.352501,19.775589,-27.700984311241548,27.700984311241548
2014-12-18,28.1625,20.496346,-27.221143293317247,27.221143293317247
2014-12-19,27.945,22.79541,-18.427589349615317,18.427589349615317
2014-12-22,28.235001,19.696384,-30.241247627610708,30.241247627610708
2014-12-23,28.135,20.098866,-28.56276698406539,28.56276698406539
2014-12-24,28.002501,22.217754,-20.65796421536179,20.65796421536179
2014-12-26,28.497499,19.458443,-31.71877052092087,31.71877052092087
2014-12-29,28.477501,20.149479,-29.24421664543699,29.24421664543699
2014-12-30,28.129999,19.999485,-28.90335681892794,28.90335681892794
2014-12-31,27.594999,19.691387,-28.641464431603453,28.641464431603453
2015-01-02,27.3325,19.97406,-26.92194252778286,26.92194252778286
2015-01-05,26.5625,20.572117,-22.55203067555147,22.55203067555147
2015-01-06,26.565001,20.560398,-22.60343561889329,22.60343561889329
2015-01-07,26.9375,19.26743,-28.47358013250435,28.47358013250435
2015-01-08,27.9725,20.493298,-26.737697463922434,26.737697463922434
2015-01-09,28.002501,19.93502,-28.809857209620866,28.809857209620866
2015-01-12,27.3125,19.7462,-27.702698172911898,27.702698172911898
2015-01-13,27.555,20.913265,-24.10355569489572,24.10355569489572
2015-01-14,27.450001,19.651775,-28.408835540270395,28.408835540270395
2015-01-15,26.705,20.086979,-24.781955018335456,24.781955018335456
2015-01-16,26.497499,21.70766,-18.0765676222921,18.0765676222921
2015-01-20,27.18,19.694214,-27.54152366744849,27.54152366744849
2015-01-21,27.387501,19.606232,-28.411753633699092,28.411753633699092
2015-01-22,28.1,19.919727,-29.111290656799106,29.111290656799106
2015-01-23,28.245001,19.54121,-30.81533197835416,30.81533197835416
2015-01-26,28.275,19.965126,-29.389474668089626,29.389474668089626
2015-01-27,27.285,22.96642,-15.827673740257639,15.827673740257639
2015-01-28,28.827499,29.388802,1.947108123070377,1.947108123070377
2015-01-29,29.725,22.178879,-25.386446478789953,25.386446478789953
2015-01-30,29.290001,22.002766,-24.87960087294781,24.87960087294781
2015-02-02,29.657499,20.477867,-30.952144257124164,30.952144257124164
2015-02-03,29.6625,19.80862,-33.21999004507085,33.21999004507085
2015-02-04,29.889999,21.166592,-29.18503729529362,29.18503729529362
2015-02-05,29.985001,19.493439,-34.989367781901606,34.989367781901606
2015-02-06,29.7325,19.519794,-34.34862704410552,34.34862704410552
2015-02-09,29.93,19.442284,-35.04081647052759,35.04081647052759
2015-02-10,30.504999,20.709759,-32.110278847919574,32.110278847919574
2015-02-11,31.219999,21.667885,-30.596138626845708,30.596138626845708
2015-02-12,31.615,21.851028,-30.883984050663248,30.883984050663248
2015-02-13,31.77,20.256382,-36.240535132120264,36.240535132120264
2015-02-17,31.9575,21.077377,-34.045600189827304,34.045600189827304
2015-02-18,32.18,19.957134,-37.982802216202074,37.982802216202074
2015-02-19,32.112499,19.639286,-38.842236970533605,38.842236970533605
2015-02-20,32.375,20.139668,-37.792532784598215,37.792532784598215
2015-02-23,33.25,21.830948,-34.343013906837406,34.343013906837406
2015-02-24,33.0425,21.692856,-34.348624241625366,34.348624241625366
2015-02-25,32.197498,22.102966,-31.351913404595138,31.351913404595138
2015-02-26,32.605,23.43845,-28.113940010369138,28.113940010369138
2015-02-27,32.115002,20.97152,-34.69868234722562,34.69868234722562
