Date,Actual,Predicted,Percentage Difference (%),Abs_Percentage_Diff
2014-05-28,14.016,12.822619,-8.514416108937024,8.514416108937024
2014-05-29,14.016,12.678793,-9.540575388904031,9.540575388904031
2014-05-30,13.851333,12.877085,-7.033606570171523,7.033606570171523
2014-06-02,13.646667,12.772863,-6.40305513381749,6.40305513381749
2014-06-03,13.662667,12.682753,-7.172204304965282,7.172204304965282
2014-06-04,13.599333,12.649089,-6.987431960390221,6.987431960390221
2014-06-05,13.793333,12.756008,-7.520480016009482,7.520480016009482
2014-06-06,13.878,12.706995,-8.437851200634267,8.437851200634267
2014-06-09,13.687333,12.687921,-7.301732409275536,7.301732409275536
2014-06-10,13.486667,12.762343,-5.370664177611522,5.370664177611522
2014-06-11,13.631333,12.773834,-6.290645027044492,6.290645027044492
2014-06-12,13.568,12.919447,-4.780019566697892,4.780019566697892
2014-06-13,13.761333,12.70215,-7.696802738160377,7.696802738160377
2014-06-16,14.974,13.665177,-8.74063479847817,8.74063479847817
2014-06-17,15.444667,13.707729,-11.246196893726431,11.246196893726431
2014-06-18,15.141333,13.151417,-13.142278962067252,13.142278962067252
2014-06-19,15.186,13.339086,-12.161954570535643,12.161954570535643
2014-06-20,15.306,12.9372635,-15.475869013657833,15.475869013657833
2014-06-23,15.814667,13.220562,-16.403159287507147,16.403159287507147
2014-06-24,15.5,13.199896,-14.839381556357106,14.839381556357106
2014-06-25,15.792667,13.00202,-17.67052466690934,17.67052466690934
2014-06-26,15.706667,12.93291,-17.65974305360178,17.65974305360178
2014-06-27,15.937333,12.996545,-18.45219750411402,18.45219750411402
2014-06-30,16.004,12.910677,-19.328436914666604,19.328436914666604
2014-07-01,15.981333,12.924138,-19.12978680093311,19.12978680093311
2014-07-02,15.295333,13.29137,-13.101791299047209,13.101791299047209
2014-07-03,15.283333,13.040508,-14.674971288895744,14.674971288895744
2014-07-07,14.844,13.077042,-11.903519092046867,11.903519092046867
2014-07-08,14.604667,13.210791,-9.544047569483958,9.544047569483958
2014-07-09,14.870667,12.876729,-13.408530958728043,13.408530958728043
2014-07-10,14.630667,12.908356,-11.77192596283803,11.77192596283803
2014-07-11,14.542,12.774799,-12.152390682685818,12.152390682685818
2014-07-14,15.113333,13.193239,-12.704634960163109,12.704634960163109
2014-07-15,14.638667,13.036097,-10.947516103235515,10.947516103235515
2014-07-16,14.477333,12.906603,-10.849582174444212,10.849582174444212
2014-07-17,14.36,12.840651,-10.5804278657961,10.5804278657961
2014-07-18,14.668,12.90151,-12.043153540718151,12.043153540718151
2014-07-21,14.702667,12.837563,-12.68548378987869,12.68548378987869
2014-07-22,14.638667,12.767421,-12.78290045987252,12.78290045987252
2014-07-23,14.832667,12.82832,-13.513061747017268,13.513061747017268
2014-07-24,14.902667,12.838509,-13.850932816541953,13.850932816541953
2014-07-25,14.904667,12.787338,-14.20581045630917,14.20581045630917
2014-07-28,14.988,13.133415,-12.373797556925746,12.373797556925746
2014-07-29,15.000667,12.790136,-14.736215814401628,14.736215814401628
2014-07-30,15.261333,12.945509,-15.174454571503162,15.174454571503162
2014-07-31,14.886667,13.055668,-12.299590786861382,12.299590786861382
2014-08-01,15.551333,13.444899,-13.545040766944672,13.545040766944672
2014-08-04,15.901333,12.943234,-18.602833840002273,18.602833840002273
2014-08-05,15.899333,12.80567,-19.457817604386936,19.457817604386936
2014-08-06,16.595333,13.198981,-20.46570391148394,20.46570391148394
2014-08-07,16.826,12.998093,-22.749954526523315,22.749954526523315
2014-08-08,16.542,12.841905,-22.36788393061448,22.36788393061448
2014-08-11,17.288,13.184461,-23.73634521081899,23.73634521081899
2014-08-12,17.330667,13.007726,-24.943882912081754,24.943882912081754
2014-08-13,17.354,13.1232,-24.37939139930309,24.37939139930309
2014-08-14,17.425333,12.879667,-26.08653572299311,26.08653572299311
2014-08-15,17.467333,12.843359,-26.472123743617455,26.472123743617455
2014-08-18,17.329332,13.1048975,-24.377364926216014,24.377364926216014
2014-08-19,17.117332,13.081349,-23.578339352979956,23.578339352979956
2014-08-20,17.047333,12.875614,-24.471387012503556,24.471387012503556
