iter	RMSE
0	54.830404
1	51.79136348
2	48.99005641
3	46.36144339
4	43.81310701
5	41.42718155
6	39.17853158
7	37.15068974
8	35.1217335
9	33.2237309
10	31.46852474
11	29.7403514
12	28.13985467
13	26.63177587
14	25.19518743
15	23.84452994
16	22.54013385
17	21.36284565
18	20.24435847
19	19.17953021
20	18.19136338
21	17.21633764
22	16.31193233
23	15.45768986
24	14.63690262
25	13.84782963
26	13.11288144
27	12.41272218
28	11.75131758
29	11.12497225
30	10.55422022
31	9.996450262
32	9.488243006
33	9.003704367
34	8.552942927
35	8.118950114
36	7.707374619
37	7.316817009
38	6.941958009
39	6.598078566
40	6.262352079
41	5.952270175
42	5.657863815
43	5.38479072
44	5.13285236
45	4.899990387
46	4.667242048
47	4.449479343
48	4.248390485
49	4.048747746
50	3.865955377
51	3.69502423
52	3.538798645
53	3.387159683
54	3.251318686
55	3.117019153
56	2.993696816
57	2.880829793
58	2.769909704
59	2.669113195
60	2.578252217
61	2.488699038
62	2.405281255
63	2.330341619
64	2.262989186
65	2.1916839
66	2.130394691
67	2.074067612
68	2.017208513
69	1.964874414
70	1.918642822
71	1.875975603
72	1.834753969
73	1.795997794
74	1.759382707
75	1.726506204
76	1.695239626
77	1.66292375
78	1.636326348
79	1.610949158
80	1.590660613
81	1.567869146
82	1.545197933
83	1.526080926
84	1.506815967
85	1.489222232
86	1.471664993
87	1.458047465
88	1.443985462
89	1.42993456
90	1.417268118
91	1.406085427
92	1.393684207
93	1.381146706
94	1.372436006
95	1.360337281
96	1.350502391
97	1.339018344
98	1.328677962
99	1.32046528
100	1.312505829
101	1.305124215
102	1.299376234
103	1.292705533
104	1.285421081
105	1.277358415
106	1.269213981
107	1.260706492
108	1.255931542
109	1.247113459
110	1.239572993
111	1.235128738
112	1.230889934
113	1.226185636
114	1.21968317
115	1.215173244
116	1.20749216
117	1.201112724
118	1.195907921
119	1.190654246
120	1.187569248
121	1.182560567
122	1.179160723
123	1.172509228
124	1.166925716
125	1.160920488
126	1.156488396
127	1.151076516
128	1.146840884
129	1.142776825
130	1.140590741
131	1.134854535
132	1.131941561
133	1.127383172
134	1.123599295
135	1.121035382
136	1.116815924
137	1.112840684
138	1.106702834
139	1.102879505
140	1.099597551
141	1.094011406
142	1.088708522
143	1.085652176
144	1.082771934
145	1.07719273
146	1.072830921
147	1.069502949
148	1.066205414
149	1.062808367
150	1.058939412
151	1.055374887
152	1.051227585
153	1.047818726
154	1.043373473
155	1.042170084
156	1.038226089
157	1.036061106
158	1.031174466
159	1.028872511
160	1.026643901
161	1.023401187
162	1.019501527
163	1.016155966
164	1.01322302
165	1.011568075
166	1.009573228
167	1.006856537
168	1.005637573
169	1.003136297
170	1.000453848
171	0.9970766962
172	0.9952993707
173	0.9928773445
174	0.9906155249
175	0.9890440431
176	0.9857803828
177	0.9836647334
178	0.9800364976
179	0.9770766821
180	0.9751752374
181	0.9728219882
182	0.9690555943
183	0.9665927349
184	0.9641975749
185	0.9598183928
186	0.9566524796
187	0.9534067364
188	0.9506405265
189	0.9487091363
190	0.9470257228
191	0.9433754758
192	0.9405751927
193	0.9375853806
194	0.9358085162
195	0.9327986646
196	0.9303865394
197	0.9278758963
198	0.9270831267
199	0.9247855975
200	0.9218845444
201	0.9199262302
202	0.9178665201
203	0.9172894148
204	0.9154941596
205	0.9128698476
206	0.9107860047
207	0.9071861586
208	0.9051860103
209	0.9027504644
210	0.9026525637
211	0.8997634685
212	0.8980331894
213	0.8965310895
214	0.8940116382
215	0.8920520044
216	0.8888809553
217	0.8872335246
218	0.8847367539
219	0.8837951766
220	0.88186916
221	0.8800628701
222	0.8782432825
223	0.8769274796
224	0.8746410539
225	0.8734235211
226	0.8713934074
227	0.8700391066
228	0.8684272374
229	0.8671548726
230	0.86530637
231	0.8645030374
232	0.8628053893
233	0.8625914749
234	0.8609662644
235	0.857970853
236	0.8556699647
237	0.8543579928
238	0.8530650996
239	0.851072302
240	0.8492023651
241	0.8482217821
242	0.8465946887
243	0.8442952867
244	0.8436392049
245	0.8421942018
246	0.8414940315
247	0.8393272295
248	0.8362086556
249	0.834918403
250	0.8321049827
251	0.8303838425
252	0.827973455
253	0.8257560257
254	0.8250746885
255	0.8230951217
256	0.8216611149
257	0.8207039633
258	0.8187307473
259	0.8177965479
260	0.8161011354
261	0.8145676896
262	0.8140742538
263	0.8130850154
264	0.811709974
265	0.810390504
266	0.8083165059
267	0.8072779516
268	0.806407197
269	0.8048360856
270	0.8036061999
271	0.8020820815
272	0.8009872766
273	0.8002408859
274	0.7987999937
275	0.7978342727
276	0.7961030862
277	0.7953200218
278	0.7938918003
279	0.7932248075
280	0.79155477
281	0.7909155313
282	0.7903199517
283	0.7896228138
284	0.788764393
285	0.7873840317
286	0.7861111538
287	0.7845495309
288	0.7827828246
289	0.781632927
290	0.7803788223
291	0.779081216
292	0.7775799769
293	0.7765306671
294	0.7746406006
295	0.7739891638
296	0.7725794836
297	0.7714267647
298	0.7709350559
299	0.7699898948
300	0.7693879902
301	0.7677664286
302	0.767365319
303	0.7663040414
304	0.764604607
305	0.7628312504
306	0.7613713684
307	0.7606123997
308	0.7598582312
309	0.7594455402
310	0.7590765737
311	0.7577783672
312	0.756887339
313	0.7567169539
314	0.7551011926
315	0.7540428668
316	0.7529885997
317	0.7514796029
318	0.7499143758
319	0.7490445907
320	0.748428992
321	0.7469518333
322	0.7458310751
323	0.7454568682
324	0.7450337153
325	0.7444033703
326	0.742967292
327	0.7417334354
328	0.7406065291
329	0.7398440173
330	0.7391547092
331	0.7383591064
332	0.7374623705
333	0.7358623314
334	0.735584799
335	0.7347623479
336	0.7339338121
337	0.7331343667
338	0.7321774164
339	0.7318888479
340	0.7310921884
341	0.730204582
342	0.7294700539
343	0.7287388447
344	0.7275094148
345	0.7267645642
346	0.7261185391
347	0.72500234
348	0.7234725705
349	0.7227508894
350	0.721787807
351	0.7207620716
352	0.7194087368
353	0.71912759
354	0.7175873922
355	0.7169533117
356	0.7160724713
357	0.7155226805
358	0.714783065
359	0.7133981407
360	0.7127444882
361	0.7119077174
362	0.710803688
363	0.7103594817
364	0.7091994381
365	0.7088562147
366	0.7079825297
367	0.7068035001
368	0.7055170626
369	0.7046647397
370	0.7033036224
371	0.7026394968
372	0.7016209175
373	0.700879835
374	0.7002062001
375	0.6994872858
376	0.6986018663
377	0.6978451754
378	0.6974396018
379	0.6964716513
380	0.695561535
381	0.6950972602
382	0.694657035
383	0.6940487171
384	0.6931357107
385	0.6921359605
386	0.6907823772
387	0.6903640544
388	0.6893541903
389	0.68859866
390	0.6880731649
391	0.6865959303
392	0.6863653031
393	0.6855394935
394	0.6847765658
395	0.684306501
396	0.6836328252
397	0.6829343963
398	0.6815706397
399	0.680892799
400	0.6789642478
401	0.6783332638
402	0.6771867541
403	0.676404949
404	0.6751811154
405	0.6741348909
406	0.6736106924
407	0.6727886279
408	0.6718932355
409	0.6714486085
410	0.6705526466
411	0.6699815162
412	0.669358656
413	0.668205999
414	0.6672420904
415	0.6666552057
416	0.6653722242
417	0.6647494094
418	0.6638428619
419	0.663585788
420	0.6631839488
421	0.6626360261
422	0.6616928368
423	0.6610580355
424	0.6596769341
425	0.658755062
426	0.6578759611
427	0.6576177909
428	0.6570487543
429	0.6557725787
430	0.6550829812
431	0.653301067
432	0.652526301
433	0.6519313425
434	0.6511967753
435	0.6508955548
436	0.6504743831
437	0.6498333841
438	0.6494598147
439	0.6489209902
