,Volume,Fear_index,SPY_index,FEDFUNDS,Target,MA,RSI,BB_UPPER,BB_MIDDLE,BB_LOWER
2019-10-04,23248000.0,17.040001,294.350006,1.83,60.772499,61.073100149999995,49.94410453575615,62.91430657396744,61.073100149999995,59.23189372603255
2019-10-07,16858000.0,17.860001,293.079987,1.83,60.856998,61.08127505,49.56253440084975,62.90793687212429,61.08127505,59.254613227875716
2019-10-08,20786000.0,20.280001,288.529999,1.83,62.150501,61.03910015,44.42602411562508,62.977260846850726,61.03910015,59.10093945314928
2019-10-09,17354000.0,18.639999,291.269989,1.83,62.181999,60.99445025,48.509228954092436,62.97623277566933,60.99445025,59.01266772433067
2019-10-10,16932000.0,17.57,293.23999,1.83,62.6535,60.93050005,50.40291568829851,62.89720827762999,60.93050005,58.963791822370005
2019-10-11,25454000.0,15.58,296.279999,1.83,62.274502,60.87022495,52.41218053821382,62.77466658873663,60.87022495,58.96578331126337
2019-10-14,17350000.0,14.57,295.950012,1.83,62.307499,60.8348249,52.92411551473613,62.711000516781944,60.8348249,58.95864928321806
2019-10-15,27634000.0,13.54,298.880005,1.83,62.139999,60.869474950000004,60.015225239095926,62.818263118091025,60.869474950000004,58.920686781908984
2019-10-16,21892000.0,13.68,298.399994,1.83,62.956501,60.89754995,60.17255049050612,62.90712444987408,60.89754995,58.887975450125914
2019-10-17,19048000.0,13.79,299.279999,1.83,63.0495,60.93344990000001,62.5480890563376,63.04420396843814,60.93344990000001,58.82269583156187
2019-10-18,27056000.0,14.25,297.970001,1.83,63.2565,60.97235010000001,59.477166640136616,63.15427228798899,60.97235010000001,58.790427912011026
2019-10-21,20544000.0,14.0,299.98999,1.83,64.5,61.00265005,59.66285393460391,63.24324805911719,61.00265005,58.76205204088281
2019-10-22,20476000.0,14.46,299.01001,1.83,63.131001,61.06275000000001,58.204824122496895,63.35981770782073,61.06275000000001,58.765682292179285
2019-10-23,18230000.0,14.01,299.880005,1.83,63.064499,61.09427505000001,62.95703056210486,63.47993775038047,61.09427505000001,58.70861234961954
2019-10-24,20562000.0,13.71,300.369995,1.83,63.005501,61.14327505,63.466555530979946,63.650439809431255,61.14327505,58.636110290568745
2019-10-25,24262000.0,12.65,301.600006,1.83,63.687,61.24337499999999,64.6326635498572,63.9231572122618,61.24337499999999,58.56359278773819
2019-10-28,52264000.0,13.11,303.299988,1.83,64.568497,61.42087495,70.68586782941478,64.46442788733575,61.42087495,58.37732201266425
2019-10-29,37728000.0,13.2,303.209991,1.83,64.601501,61.56467495,58.76189919332868,64.64780285696426,61.56467495,58.48154704303573
2019-10-30,28178000.0,12.33,304.140015,1.83,64.589996,61.77632485,58.24787380844277,64.64302248307182,61.77632485,58.909627216928186
2019-10-31,29114000.0,13.22,303.329987,1.83,65.443001,61.957024950000005,57.76510238303505,64.6405307840883,61.957024950000005,59.27351911591171
2019-11-01,33402000.0,12.3,306.140015,1.55,65.568497,62.1188749,61.7126667062831,64.81012783767095,62.1188749,59.42762196232906
2019-11-04,30020000.0,12.83,307.369995,1.55,64.959503,62.3280998,66.12328396385712,65.10085651860824,62.3280998,59.555343081391754
2019-11-05,25654000.0,13.1,307.029999,1.55,64.940002,62.5853498,66.27990980070412,65.18565651250786,62.5853498,59.98504308749215
2019-11-06,23060000.0,12.62,307.100006,1.55,64.900002,62.809074550000005,66.16506916195598,65.28144712722215,62.809074550000005,60.33670197277787
2019-11-07,40600000.0,12.73,308.179993,1.55,65.572998,63.059549700000005,70.27708457297774,65.5336012608208,63.059549700000005,60.58549813917921
2019-11-08,25028000.0,12.07,308.940002,1.55,66.7435,63.299349600000006,70.83859886867165,65.76974520674231,63.299349600000006,60.8289539932577
2019-11-11,20238000.0,12.69,308.350006,1.55,66.035004,63.50447485000001,64.47332233948589,65.79578839032494,63.50447485000001,61.213161309675066
2019-11-12,21718000.0,12.68,309.0,1.55,65.773003,63.643949899999996,64.2741576888611,65.92782870984665,63.643949899999996,61.36007109015335
2019-11-13,16534000.0,13.0,309.100006,1.55,65.152496,63.77985005000001,63.838542549908176,66.02050201876263,63.77985005000001,61.53919808123739
2019-11-14,23870000.0,13.05,309.549988,1.55,65.067497,63.925824950000006,67.79354429262028,66.23680640571703,63.925824950000006,61.61484349428298
2019-11-15,35652000.0,12.05,311.790009,1.55,64.766998,64.14927485,73.26941910072952,66.64482228143899,64.14927485,61.653727418561004
2019-11-18,29748000.0,12.46,312.019989,1.55,65.334503,64.3356501,65.95911683113067,66.80870349233797,64.3356501,61.86259670766202
2019-11-19,25384000.0,12.86,311.929993,1.55,65.677498,64.5173003,63.438450376060736,66.840461976837,64.5173003,62.194138623163006
2019-11-20,26172000.0,12.78,310.769989,1.55,65.649498,64.62710005,57.80429194210032,66.84484619179426,64.62710005,62.40935390820572
2019-11-21,19910000.0,13.13,310.269989,1.55,65.248001,64.7279999,57.05675039123788,66.82380534602608,64.7279999,62.63219445397392
2019-11-22,27714000.0,12.34,310.959991,1.55,64.496002,64.8035248,54.37929218785457,66.78161696467565,64.8035248,62.82543263532436
2019-11-25,20724000.0,11.87,313.369995,1.55,64.764,64.84524995000001,58.35395904229386,66.83157274607996,64.84524995000001,62.85892715392006
2019-11-26,21394000.0,11.54,314.079987,1.55,66.027,64.9725748,60.588870762934576,66.81766938859971,64.9725748,63.1274802114003
2019-11-27,19912000.0,11.75,315.480011,1.55,66.406502,65.10182475,60.30436548405145,66.73401007634735,65.10182475,63.469639423652666
2019-11-29,11740000.0,12.62,314.309998,1.55,67.030998,65.21394975,56.227247745965585,66.51411098547341,65.21394975,63.913788514526594
2019-12-02,30218000.0,14.91,311.640015,1.55,67.178001,65.25439985,49.47962843581736,66.39509590735283,65.25439985,64.11370379264717
2019-12-03,22876000.0,15.96,309.549988,1.55,67.233002,65.264175,51.70403206208713,66.38326850764736,65.264175,64.14508149235263
2019-12-04,30750000.0,14.8,311.459991,1.55,67.250999,65.33544995,60.5251566256498,66.45840859899981,65.33544995,64.21249130100018
2019-12-05,24254000.0,14.52,312.019989,1.55,67.513496,65.42627525,62.72803620802305,66.58852242045207,65.42627525,64.26402807954794
2019-12-06,26296000.0,13.62,314.869995,1.55,67.391502,65.50567509999999,66.08229857932982,66.87181884175263,65.50567509999999,64.13953135824735
2019-12-09,27086000.0,15.86,313.880005,1.55,68.058502,65.5861503,66.83882804110047,67.14404081728406,65.5861503,64.02825978271593
2019-12-10,21882000.0,15.68,313.529999,1.55,67.755997,65.69982524999999,67.13420232478427,67.39124958913284,65.69982524999999,64.00840091086714
2019-12-11,17008000.0,14.99,314.420013,1.55,67.630997,65.81537510000001,67.23703714533076,67.60135121088227,65.81537510000001,64.02939898911775
2019-12-12,25620000.0,13.94,317.130005,1.55,67.802002,65.9460498,68.77183570781253,67.82979270403922,65.9460498,64.06230689596077
2019-12-13,30992000.0,12.63,317.320007,1.55,67.4795,66.036975,67.19635623678818,68.01794400199248,66.036975,64.05600599800752
2019-12-16,27946000.0,12.14,319.5,1.55,67.442001,66.10272510000001,71.09526576716533,68.26172407421616,66.10272510000001,63.94372612578387
2019-12-17,37080000.0,12.29,319.570007,1.55,67.178001,66.18877475000001,67.19453113847334,68.47012682801298,66.18877475000001,63.90742267198704
2019-12-18,30452000.0,12.58,319.589996,1.55,68.019997,66.28167445,65.59303610441567,68.6417023926714,66.28167445,63.92164650732859
2019-12-19,29398000.0,12.5,320.899994,1.55,67.594498,66.41414975,66.76020442625868,68.8045509171043,66.41414975,64.02374858289572
2019-12-20,66300000.0,12.51,320.730011,1.55,66.806999,66.5347499,62.457143042331026,68.88207509066795,66.5347499,64.18742470933203
2019-12-23,17662000.0,12.61,321.220001,1.55,66.850998,66.66850005,61.95708225722133,68.89336288868337,66.66850005,64.44363721131664
2019-12-24,6950000.0,12.67,321.230011,1.55,68.3685,66.76067495,58.4113429719054,68.90409516014002,66.76067495,64.61725473985997
2019-12-26,13350000.0,12.65,322.940002,1.55,68.032997,66.8777999,65.24330047285292,69.0279990623411,66.8777999,64.7276007376589
2019-12-27,20768000.0,13.43,322.859985,1.55,69.710503,66.9750499,59.889138284319905,69.0664721024978,66.9750499,64.8836276975022
2019-12-30,21018000.0,14.82,321.079987,1.55,69.667,67.0529998,51.470361926416494,68.98340700558492,67.0529998,65.12259259441507
2019-12-31,19236000.0,13.78,321.859985,1.55,70.216003,67.1707496,51.87739297058638,68.68739469063675,67.1707496,65.65410450936324
2020-01-02,28132000.0,12.47,324.869995,1.55,70.991501,67.3509746,63.30787400092336,68.46722301067835,67.3509746,66.23472618932165
2020-01-03,23728000.0,14.02,322.410004,1.55,71.486504,67.45127445,59.919174927564896,68.41695877867497,67.45127445,66.48559012132503
2020-01-06,34646000.0,13.85,323.640015,1.55,71.961502,67.6164745,68.88671777888234,68.90581032216708,67.6164745,66.3271386778329
2020-01-07,30054000.0,13.79,322.730011,1.55,71.543999,67.7482746,68.45895119310302,69.29820053119685,67.7482746,66.19834866880315
2020-01-08,30560000.0,13.45,324.450012,1.55,71.959999,67.90017470000001,70.91366341026529,69.77599216573775,67.90017470000001,66.02435723426227
2020-01-09,30018000.0,12.54,326.649994,1.55,72.584999,68.08809965,73.9926715941035,70.38769440502867,68.08809965,65.78850489497134
2020-01-10,36414000.0,12.56,325.709991,1.55,74.019501,68.29987489999999,75.75677501409854,71.01707491685383,68.29987489999999,65.58267488314615
2020-01-13,33046000.0,12.32,327.950012,1.55,74.220001,68.5222752,77.34482563733347,71.66351092906358,68.5222752,65.38103947093641
2020-01-14,31178000.0,12.39,327.450012,1.55,74.297501,68.72990005,72.82906231458752,72.09723459415518,68.72990005,65.36256550584481
2020-01-15,25654000.0,12.42,328.190002,1.55,74.332497,68.9249749,74.43095295156388,72.56919611119062,68.9249749,65.28075368880937
2020-01-16,23474000.0,12.32,330.920013,1.55,73.335503,69.16642499999999,76.65757066328895,73.11197434304802,69.16642499999999,65.22087565695196
2020-01-17,47924000.0,12.1,331.950012,1.55,71.695,69.48585019999999,80.79202753251,73.91301791853581,69.48585019999999,65.05868248146416
2020-01-21,40734000.0,12.85,331.299988,1.55,72.627998,69.80675015,81.29082579726042,74.63247987429017,69.80675015,64.98102042570983
2020-01-22,32216000.0,12.91,331.339996,1.55,72.931503,70.1476502,81.49090438683062,75.23722495363147,70.1476502,65.05807544636853
