,Volume,Fear_index,SPY_index,FEDFUNDS,Target,MA,RSI,BB_UPPER,BB_MIDDLE,BB_LOWER
2014-10-01,205965200.0,16.709999,194.350006,0.09,25.200001,25.10575,46.652334425390535,25.840843941008004,25.10575,24.370656058991997
2014-10-02,191031200.0,16.16,194.380005,0.09,25.254999,25.12799995,49.16933293051549,25.815088725541326,25.12799995,24.440911174458673
2014-10-03,173878400.0,14.55,196.520004,0.09,25.182501,25.136125,48.21660654431199,25.807687227787483,25.136125,24.464562772212517
2014-10-06,148204800.0,15.46,196.289993,0.09,24.952499,25.15187505,48.21660654431199,25.78307018685634,25.15187505,24.520679913143663
2014-10-07,168376800.0,17.200001,193.259995,0.09,24.6875,25.1613751,45.06960864508035,25.755746210725054,25.1613751,24.567003989274948
2014-10-08,229618800.0,15.11,196.639999,0.09,24.385,25.15887515,52.87460889449009,25.752096227855517,25.15887515,24.565654072144483
2014-10-09,309506000.0,18.76,192.740005,0.09,24.065001,25.1537501,53.635948582498784,25.741491730491088,25.1537501,24.566008469508912
2014-10-10,265326400.0,21.24,190.539993,0.09,24.4175,25.142125099999998,52.4334197488497,25.717169781835295,25.142125099999998,24.5670804181647
2014-10-13,214333600.0,24.639999,187.410004,0.09,24.940001,25.1193751,48.70277807439118,25.686156657291697,25.1193751,24.5525935427083
2014-10-14,254754400.0,22.790001,187.699997,0.09,25.6175,25.0930001,44.751979321290165,25.689367260486772,25.0930001,24.49663293951323
2014-10-15,403734400.0,25.27,186.429993,0.09,25.747499,25.0425001,40.69385086786067,25.699192081791427,25.0425001,24.385808118208576
2014-10-16,288618000.0,25.200001,186.270004,0.09,26.2075,24.973375150000003,36.883590459342955,25.73347557304106,24.973375150000003,24.213274726958947
2014-10-17,272718800.0,21.99,188.470001,0.09,26.305,24.932250149999998,43.19343094679575,25.720106423495448,24.932250149999998,24.144393876504548
2014-10-20,310069200.0,18.57,190.300003,0.09,26.2775,24.91600025,51.01126177989948,25.688210373437006,24.91600025,24.143790126562994
2014-10-21,378495600.0,16.08,194.070007,0.09,26.684999,24.913875249999997,58.9080528150266,25.67765273395835,24.913875249999997,24.150097766041643
2014-10-22,273052400.0,17.870001,192.690002,0.09,26.834999,24.9293752,60.23268911761353,25.748473796020075,24.9293752,24.110276603979923
2014-10-23,284298800.0,16.530001,194.929993,0.09,26.745001,25.01637515,64.58331097629767,25.98490929191476,25.01637515,24.047841008085236
2014-10-24,188215600.0,16.110001,196.429993,0.09,27.0,25.07225015,65.44619322886258,26.198455450673507,25.07225015,23.94604484932649
2014-10-27,136750800.0,16.040001,196.160004,0.09,27.35,25.134750150000002,64.9654218528393,26.38266267447389,25.134750150000002,23.886837625526113
2014-10-28,192243600.0,14.39,198.410004,0.09,27.15,25.209625100000004,68.64152496284828,26.63757694306317,25.209625100000004,23.781673256936838
2014-10-29,210751600.0,15.15,198.110001,0.09,27.215,25.31162505,69.89379005025128,26.89757104093424,25.31162505,23.72567905906576
2014-10-30,162619200.0,14.52,199.380005,0.09,27.174999,25.4001251,68.13569515921793,27.10039890284302,25.4001251,23.699851297156982
2014-10-31,178557200.0,14.03,201.660004,0.09,27.252501,25.504875050000003,70.40703686923382,27.33024728617033,25.504875050000003,23.679502813829675
2014-11-03,209130400.0,14.73,201.770004,0.09,27.2075,25.627125,73.22785711815044,27.604505470937358,25.627125,23.64974452906264
2014-11-04,166297600.0,14.89,201.070007,0.09,27.424999,25.75025,69.17040050619809,27.787054363135198,25.75025,23.713445636864805
2014-11-05,149743600.0,14.17,202.339996,0.09,27.8125,25.85099995,69.75690565305864,27.970852209847628,25.85099995,23.73114769015237
2014-11-06,139874000.0,13.67,203.149994,0.09,28.205,25.946999950000002,68.88836135333551,28.126273656584996,25.946999950000002,23.76772624341501
2014-11-07,134766000.0,13.12,203.339996,0.09,28.545,26.05049995,69.67616084460462,28.273086888256287,26.05049995,23.82791301174371
2014-11-10,108782000.0,12.67,203.979996,0.09,28.497499,26.163249999999998,68.59011470240169,28.380088995174958,26.163249999999998,23.946411004825038
2014-11-11,109769200.0,12.92,204.179993,0.09,28.8675,26.300124950000004,70.94718264524134,28.47087593854415,26.300124950000004,24.129373961455858
2014-11-12,187769600.0,13.02,203.960007,0.09,28.6675,26.471499950000002,74.60376481750617,28.544633668134317,26.471499950000002,24.398366231865687
2014-11-13,238091600.0,13.79,204.190002,0.09,29.077499,26.6784999,77.66951495926318,28.5575675217635,26.6784999,24.799432278236498
2014-11-14,176254400.0,13.31,204.240005,0.09,29.1175,26.8848749,79.92970572572257,28.61945454675867,26.8848749,25.150295253241328
2014-11-17,186986800.0,13.99,204.369995,0.09,29.657499,27.0627498,78.73075896994804,28.68346267219767,27.0627498,25.442036927802327
2014-11-18,176896000.0,13.86,205.550003,0.09,29.4,27.2252498,81.10790874666117,28.88702594662014,27.2252498,25.563473653379862
2014-11-19,167476800.0,13.96,205.220001,0.09,29.75,27.371249849999998,76.15334609024343,28.999108807908815,27.371249849999998,25.74339089209118
2014-11-20,173582000.0,13.58,205.580002,0.09,29.7325,27.514749799999997,78.98711993757846,29.215045159667632,27.514749799999997,25.814454440332362
2014-11-21,228717200.0,12.9,206.679993,0.09,28.7675,27.655374799999997,79.24624366784965,29.39905972358536,27.655374799999997,25.911689876414634
2014-11-24,189803200.0,12.62,207.259995,0.09,28.657499,27.824374749999997,82.40131149548242,29.65860018361441,27.824374749999997,25.990149316385583
2014-11-25,275361600.0,12.25,207.110001,0.09,28.9825,27.9601248,76.4341638940067,29.840588084378833,27.9601248,26.079661515621165
2014-11-26,163073200.0,12.07,207.639999,0.09,28.872499,28.10587485,78.69275275945658,30.06919957595042,28.10587485,26.142550124049578
2014-11-28,99257600.0,13.33,207.199997,0.09,28.75,28.2552498,78.28872774633702,30.237127332570314,28.2552498,26.27337226742969
2014-12-01,335256000.0,14.16,205.759995,0.12,28.1,28.343624799999997,59.99628117593768,30.245854988434406,28.343624799999997,26.44139461156559
2014-12-02,237395600.0,12.85,207.089996,0.12,28.530001,28.40899975,58.323383890039686,30.256531680641174,28.40899975,26.561467819358825
2014-12-03,172253600.0,12.5,207.889999,0.12,27.987499,28.500624749999997,61.71959167919049,30.26515522094591,28.500624749999997,26.736094279054083
2014-12-04,168178000.0,12.38,207.660004,0.12,27.905001,28.583499699999997,59.939224644879474,30.246568599544922,28.583499699999997,26.920430800455073
2014-12-05,153275600.0,11.89,208.0,0.12,27.432501,28.66224975,57.93499238720705,30.187983947897354,28.66224975,27.136515552102647
2014-12-08,230659600.0,14.21,206.610001,0.12,27.057501,28.7046247,48.6409531760018,30.10764238890132,28.7046247,27.30160701109868
2014-12-09,240832000.0,15.35,206.470001,0.12,26.6875,28.77074975,53.90868260602247,29.989190439657254,28.77074975,27.552309060342747
2014-12-10,178261200.0,18.530001,203.160004,0.12,27.352501,28.79887475,47.315081650030194,29.907544458895742,28.79887475,27.690205041104257
2014-12-11,165606800.0,20.08,204.190002,0.12,28.1625,28.803499800000004,46.38595020460019,29.895490044607534,28.803499800000004,27.711509555392475
2014-12-12,224112400.0,21.08,200.889999,0.12,27.945,28.76487485,41.37460313232983,29.99225552373805,28.76487485,27.537494176261955
2014-12-15,268872400.0,20.42,199.509995,0.12,28.235001,28.690499900000002,37.877094315205234,30.13504307033107,28.690499900000002,27.245956729668936
2014-12-16,243162800.0,23.57,197.910004,0.12,28.135,28.59999995,34.75531288393081,30.299709091991943,28.59999995,26.90029080800806
2014-12-17,213647200.0,19.440001,201.789993,0.12,28.002501,28.524250000000002,43.73155993301652,30.306781570548694,28.524250000000002,26.74171842945131
2014-12-18,236024800.0,16.809999,206.779999,0.12,28.497499,28.499000000000002,52.333724230326,30.287285303389417,28.499000000000002,26.710714696610587
2014-12-19,353719200.0,16.49,206.520004,0.12,28.477501,28.44237505,50.11809603256547,30.22524427847545,28.44237505,26.659505821524547
2014-12-22,180670000.0,15.25,207.470001,0.12,28.129999,28.398250100000002,52.97669547824097,30.154246013675436,28.398250100000002,26.642254186324568
2014-12-23,104113600.0,14.8,207.75,0.12,27.594999,28.322125149999998,51.872771251632315,29.97738283353365,28.322125149999998,26.666867466466346
2014-12-24,57918400.0,14.37,207.770004,0.12,27.3325,28.252250200000002,50.37494336692949,29.832197949103534,28.252250200000002,26.67230245089647
2014-12-26,134884000.0,14.5,208.440002,0.12,26.5625,28.18962515,55.53991858160434,29.610934427781626,28.18962515,26.768315872218377
2014-12-29,110395600.0,15.06,208.720001,0.12,26.565001,28.1268752,55.28955100093477,29.35969216063286,28.1268752,26.89405823936714
2014-12-30,119526000.0,15.92,207.600006,0.12,26.9375,28.095000150000004,50.9882632150918,29.290475666491073,28.095000150000004,26.899524633508936
2014-12-31,165613600.0,19.200001,205.539993,0.12,27.9725,28.04187515,45.162954573125546,29.226484257748695,28.04187515,26.857266042251304
2015-01-02,212818400.0,17.790001,205.429993,0.11,28.002501,27.959375150000007,42.59177161403933,29.097053487785523,27.959375150000007,26.82169681221449
2015-01-05,257142000.0,19.92,201.720001,0.11,27.3125,27.843875200000003,36.099463302998196,29.05771141989946,27.843875200000003,26.630038980100547
2015-01-06,263188400.0,21.120001,199.820007,0.11,27.555,27.73462525,36.13351620175013,28.997403164071283,27.73462525,26.471847335928718
2015-01-07,160423600.0,19.309999,202.309998,0.11,27.450001,27.676500249999997,41.16270972356316,28.974979354670616,27.676500249999997,26.378021145329377
2015-01-08,237458000.0,17.01,205.899994,0.11,26.705,27.648625199999998,52.38264874818514,28.8927558314484,27.648625199999998,26.404494568551595
2015-01-09,214798000.0,17.549999,204.25,0.11,26.497499,27.649375300000003,52.66442575276759,28.894383967060342,27.649375300000003,26.404366632939663
2015-01-12,198603200.0,19.6,202.649994,0.11,27.18,27.61975025,45.93223294543757,28.867342360934416,27.61975025,26.372158139065583
2015-01-13,268367600.0,20.559999,202.080002,0.11,27.387501,27.625875199999996,48.42742903293842,28.870796577395875,27.625875199999996,26.380953822604116
2015-01-14,195826400.0,21.48,200.860001,0.11,28.1,27.645500199999997,47.40726674051532,28.864807040274158,27.645500199999997,26.426193359725836
2015-01-15,240056000.0,22.389999,199.020004,0.11,28.245001,27.6463752,40.83432724448176,28.862809115959784,27.6463752,26.42994128404022
2015-01-16,314053200.0,20.950001,201.630005,0.11,28.275,27.6036251,39.2039339218437,28.919570431452282,27.6036251,26.287679768547715
2015-01-20,199599600.0,19.889999,202.059998,0.11,27.285,27.554500099999995,46.736826940903505,28.85587462087459,27.554500099999995,26.2531255791254
2015-01-21,194303600.0,18.85,203.080002,0.11,28.827499,27.52662515,48.81338609764302,28.81661434438667,27.52662515,26.23663595561333
2015-01-22,215185600.0,16.4,206.100006,0.11,29.725,27.5198751,55.26298911861512,28.79559109611335,27.5198751,26.244159103886652
2015-01-23,185859200.0,16.66,204.970001,0.11,29.290001,27.525375150000002,56.46521051638299,28.813149043627316,27.525375150000002,26.237601256372688
2015-01-26,222460000.0,15.52,205.449997,0.11,29.657499,27.5390001,56.724319137837284,28.853517674826957,27.5390001,26.22448252517304
2015-01-27,382274800.0,17.219999,202.740005,0.11,29.6625,27.478375149999998,46.82065318872432,28.71637705266508,27.478375149999998,26.240373247334915
2015-01-28,585908400.0,20.440001,200.139999,0.11,29.889999,27.495875049999995,58.86992009321952,28.801396857011046,27.495875049999995,26.190353242988945
2015-01-29,337745600.0,18.76,201.990005,0.11,29.985001,27.575625099999996,63.98338472133374,29.200142686369336,27.575625099999996,25.951107513630657
2015-01-30,334982000.0,20.969999,199.449997,0.11,29.7325,27.660375200000004,60.0843671287833,29.456897008179702,27.660375200000004,25.863853391820307
2015-02-02,250956400.0,19.43,201.919998,0.11,29.93,27.776625149999994,62.18112368535807,29.773533322928245,27.776625149999994,25.779716977071743
2015-02-03,207662800.0,17.33,204.839996,0.11,30.504999,27.931625149999995,62.21021517548552,30.011261999004944,27.931625149999995,25.851988300995046
2015-02-04,280598800.0,18.33,204.059998,0.11,31.219999,28.09787505,63.58259298543062,30.24793065499756,28.09787505,25.947819445002438
2015-02-05,168984800.0,16.85,206.119995,0.11,31.615,28.2502501,64.16780153559921,30.484359917967662,28.2502501,26.016140282032335
2015-02-06,174826400.0,17.290001,205.550003,0.11,31.77,28.338250100000003,61.34614618827685,30.66310261923928,28.338250100000003,26.013397580760728
2015-02-09,155559200.0,18.549999,204.630005,0.11,31.9575,28.43462505,62.72676128213375,30.85856872826968,28.43462505,26.01068137173032
2015-02-10,248034000.0,17.23,206.809998,0.11,32.18,28.59425,66.4804843139094,31.125167046614692,28.59425,26.063332953385306
2015-02-11,294247200.0,16.959999,206.929993,0.11,32.112499,28.777499950000003,70.46378887658096,31.51396815305275,28.777499950000003,26.041031746947255
2015-02-12,297898000.0,15.34,208.919998,0.11,32.375,28.985749900000002,72.41412464220336,31.92338298994854,28.985749900000002,26.048116810051464
2015-02-13,217088800.0,14.69,209.779999,0.11,33.25,29.2389999,73.16299532615122,32.22170570358498,29.2389999,26.256294096415015
2015-02-17,252609600.0,15.8,210.110001,0.11,33.0425,29.51199995,74.07966920684211,32.437113394098304,29.51199995,26.586886505901695
2015-02-18,179566800.0,15.45,210.130005,0.11,32.197498,29.76199995,75.1637945227995,32.702546681799596,29.76199995,26.821453218200404
2015-02-19,149449600.0,15.29,209.979996,0.11,32.605,29.99824985,74.15054094758634,32.89444306304115,29.99824985,27.10205663695885
2015-02-20,195793600.0,14.3,211.240005,0.11,32.115002,30.21199985,75.53192575891313,33.14904094560381,30.21199985,27.27495875439619
2015-02-23,283896400.0,14.56,211.210007,0.11,32.272499,30.462249800000002,79.47022857238397,33.54300018955431,30.462249800000002,27.38149941044569
2015-02-24,276912400.0,13.69,211.809998,0.11,32.34,30.700624800000003,76.33251275871083,33.80646092498557,30.700624800000003,27.59478867501444
2015-02-25,298846800.0,13.84,211.630005,0.11,32.134998,30.946249700000003,65.06604290911491,33.667976722934384,30.946249700000003,28.224522677065618
2015-02-26,365150000.0,13.91,211.380005,0.11,31.602501,31.13512475,67.55321939489895,33.76034304784088,31.13512475,28.50990645215912
2015-02-27,248059200.0,13.34,210.660004,0.11,31.65,31.25462485,61.85086932936092,33.826620385531356,31.25462485,28.682629314468638
2015-03-02,192386800.0,13.04,211.990005,0.11,31.785,31.403749749999996,62.93391604754325,33.83830671229009,31.403749749999996,28.969192787709897
2015-03-03,151265200.0,13.86,211.119995,0.11,31.127501,31.537874800000004,63.41332712694306,33.86034867977003,31.537874800000004,29.215400920229982
2015-03-04,126665200.0,14.23,210.229996,0.11,30.559999,31.6614997,60.83966944321542,33.821169096630186,31.6614997,29.501830303369815
2015-03-05,226068400.0,14.04,210.460007,0.11,31.112499,31.7471248,54.63671524695032,33.74045311951306,31.7471248,29.753796480486937
2015-03-06,291368400.0,15.2,207.5,0.11,30.897499,31.830374749999997,55.076697730001534,33.64488882769737,31.830374749999997,30.015860672302626
2015-03-09,354114000.0,15.06,208.360001,0.11,31.237499,31.93299975,56.37188140704163,33.45681310678614,31.93299975,30.40918639321386
2015-03-10,275426400.0,16.690001,204.979996,0.11,31.76,31.9928748,48.96713195309961,33.25734088250037,31.9928748,30.72840871749963
2015-03-11,275756000.0,16.870001,204.5,0.11,32.1175,31.9956248,43.638949265773896,33.24663375385922,31.9956248,30.744615846140782
2015-03-12,193450800.0,15.42,207.100006,0.11,31.875,31.990249799999997,49.410403117519,33.256125751935485,31.990249799999997,30.72437384806451
2015-03-13,207309200.0,16.0,205.830002,0.11,31.475,31.95437475,47.377264502711846,33.30299202716489,31.95437475,30.605757472835112
2015-03-16,143497200.0,15.61,208.580002,0.11,31.8025,31.9277497,50.82339912407497,33.31224197539779,31.9277497,30.543257424602206
